,track_popularity,playlist_genre,playlist_subgenre,danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,Hit or Not,lyrical_subjectivity,lyrical_polarity,repeated_phrases,minutes,word_count,WPM_approx,artist_past_performance
1,0,3,14,0.845,0.652,-7.504,0.21600000000000005,0.00432,0.007229999999999999,0.489,0.65,111.904,262467,1,0.4603650793650795,0.15085813492063493,0,4.37445,420,96.01207008881114,7
4,70,3,23,0.496,0.639,-6.157,0.055,0.28,0.0,0.0975,0.305,147.764,224720,1,0.609292328042328,0.2324735449735449,0,3.745333333333333,359,95.85261658953364,0
5,52,3,14,0.764,0.594,-10.05,0.185,0.591,0.0,0.145,0.695,87.26100000000002,286441,1,0.5905141843971631,0.20007598784194536,0,4.774016666666666,634,132.80221755963706,2
9,72,4,6,0.865,0.657,-6.722,0.076,0.0404,0.0,0.14,0.316,111.115,268960,1,0.4098028273809522,0.0136913216991342,3,4.482666666666667,722,161.06484235574064,8
11,8,3,9,0.662,0.748,-3.0410000000000004,0.268,0.688,8.43e-06,0.0841,0.535,82.331,239027,1,0.7379004329004323,0.4594390331890335,7,3.9837833333333332,554,139.06378777292943,0
13,71,3,23,0.665,0.7709999999999999,-5.779,0.0533,0.0155,9.6e-06,0.46,0.764,109.945,265600,1,0.5615384615384615,0.26153846153846155,5,4.426666666666667,300,67.7710843373494,1
25,48,2,10,0.703,0.599,-8.687000000000001,0.138,0.402,0.000572,0.243,0.312,112.01700000000001,280640,1,0.5799663299663301,0.3342669115396388,0,4.677333333333333,256,54.732041049030784,0
29,9,0,16,0.608,0.648,-5.569,0.036000000000000004,0.0194,0.0010400000000000001,0.0897,0.114,121.96,224392,1,0.6608345358345359,0.1903799903799904,0,3.7398666666666665,294,78.6124282505615,0
31,30,1,22,0.732,0.52,-6.684,0.0376,0.127,0.0347,0.139,0.33899999999999997,119.979,161464,1,0.6982608695652175,0.4799999999999999,0,2.6910666666666665,97,36.04518654313036,2
32,10,1,11,0.6729999999999999,0.629,-7.072,0.0299,0.00141,0.0,0.0944,0.551,103.99799999999999,247907,1,0.6701719576719577,0.12255291005291008,5,4.131783333333333,290,70.18761067658437,7
35,64,4,21,0.742,0.355,-15.505999999999998,0.0814,0.654,0.703,0.384,0.037000000000000005,120.01799999999999,254000,1,0.8206896551724137,-0.28369905956112845,6,4.233333333333333,390,92.1259842519685,0
45,62,4,21,0.452,0.794,-5.151,0.0483,0.0111,0.00182,0.41600000000000004,0.282,137.825,196664,1,0.0,0.0,1,3.2777333333333334,97,29.593621608428588,0
52,76,3,23,0.7759999999999999,0.64,-8.058,0.183,0.15,0.0,0.0983,0.326,160.03799999999995,201627,1,0.4830870279146141,0.02479474548440066,0,3.36045,504,149.97991340445475,0
53,54,4,8,0.7979999999999999,0.5529999999999999,-6.296,0.348,0.102,0.0,0.113,0.158,144.05200000000005,186680,1,0.5997301587301588,0.027619047619047626,10,3.111333333333333,475,152.6676665952432,0
58,52,0,16,0.6559999999999999,0.752,-5.622000000000001,0.0378,0.354,1.1e-05,0.0707,0.47700000000000004,128.029,199247,1,0.39635854341736704,0.1640056022408964,0,3.3207833333333334,256,77.09024477156494,2
60,0,5,2,0.8059999999999999,0.462,-12.777999999999999,0.0298,0.78,0.0134,0.15,0.736,92.726,191227,1,0.4999999999999999,0.3857142857142857,1,3.187116666666667,246,77.1857530578841,0
62,13,3,23,0.45299999999999996,0.213,-13.655999999999999,0.0279,0.5539999999999999,3.68e-06,0.0506,0.0955,64.17699999999999,203000,1,0.509090909090909,0.2049586776859504,0,3.3833333333333333,173,51.13300492610838,1
65,66,2,17,0.802,0.904,-3.267,0.0459,0.00108,0.0,0.17300000000000001,0.961,128.931,192533,1,0.5053875218348903,0.3126177185387712,4,3.208883333333333,308,95.98354567788378,0
71,14,0,18,0.584,0.767,-8.387,0.0409,8.82e-05,0.557,0.0314,0.10099999999999999,128.012,367500,1,0.10000000000000003,0.28055555555555545,0,6.125,142,23.18367346938776,0
80,45,3,14,0.7120000000000001,0.511,-8.753,0.0297,0.397,0.0,0.483,0.41200000000000003,117.896,251760,1,0.4754563492063491,0.16448412698412698,0,4.1960000000000015,326,77.6930409914204,2
82,69,2,17,0.762,0.6920000000000001,-3.9730000000000003,0.0438,0.113,0.0,0.094,0.397,114.906,208307,1,0.6427951388888888,0.31167534722222223,0,3.471783333333333,308,88.71521360299944,0
83,33,5,2,0.511,0.857,-7.54,0.0402,0.0818,0.0,0.473,0.722,121.516,215966,1,0.4286770935158031,0.05964972303681981,2,3.5994333333333333,333,92.514562477427,4
85,0,0,18,0.672,0.6920000000000001,-6.566,0.0486,0.00636,0.00231,0.187,0.67,128.009,183067,1,0.6722222222222223,-0.0888888888888889,0,3.0511166666666667,104,34.08588112548957,0
95,54,2,3,0.768,0.6759999999999999,-6.252000000000002,0.138,0.174,0.00021,0.152,0.61,109.96,173340,1,0.338968253968254,0.15619047619047616,0,2.889,259,89.650398061613,2
109,2,5,0,0.774,0.787,-6.109,0.0555,0.22699999999999998,0.00234,0.124,0.956,103.69,220386,1,0.5444444444444444,0.341919191919192,0,3.6731,218,59.35041245814161,0
111,70,5,15,0.45399999999999996,0.22899999999999998,-12.592,0.0297,0.16699999999999998,0.102,0.20199999999999999,0.134,73.55199999999998,290707,1,0.5136363636363636,-0.05,0,4.845116666666667,167,34.467694276367624,2
118,51,5,15,0.59,0.685,-5.216,0.0282,6.579999999999999e-05,3.0799999999999996e-05,0.165,0.425,112.411,226667,1,0.6152173913043483,0.3048913043478261,5,3.7777833333333333,344,91.05868961957407,0
124,71,4,20,0.956,0.745,-4.753,0.12,0.20600000000000002,0.0,0.0615,0.912,107.075,228240,1,0.6269102761038243,0.14407980572295087,30,3.804,1546,406.4143007360673,2
137,16,3,14,0.873,0.767,-6.9579999999999975,0.039,0.0516,7.49e-06,0.0678,0.833,111.99799999999999,253160,1,0.4625444000444001,0.11587717837717836,2,4.219333333333333,349,82.71448886079948,1
151,71,2,5,0.7390000000000001,0.742,-4.586,0.0329,0.0227,1.39e-06,0.22899999999999998,0.659,124.016,189000,1,0.2189132104454686,0.13423579109062975,3,3.15,421,133.65079365079364,0
155,59,5,15,0.635,0.684,-11.687000000000001,0.0329,0.08800000000000001,0.156,0.0755,0.892,120.26899999999999,268547,1,0.17559523809523808,0.03035714285714285,0,4.475783333333333,229,51.16422823565336,4
158,43,3,14,0.6829999999999999,0.47600000000000003,-9.995,0.027000000000000003,0.243,0.0,0.0786,0.725,91.98899999999999,289200,1,0.5849206349206348,0.5,0,4.82,317,65.76763485477179,0
160,69,2,17,0.695,0.8690000000000001,-5.066,0.0483,0.41,0.0,0.237,0.58,124.98899999999999,234507,1,0.5847241579558654,0.17935830429732869,34,3.90845,1260,322.3784364645831,0
163,57,5,15,0.575,0.727,-9.539,0.0281,0.00952,0.0075400000000000016,0.054000000000000006,0.504,97.995,270533,1,0.225925925925926,-0.1,0,4.508883333333333,243,53.8936100216979,0
169,42,3,14,0.703,0.973,-8.719,0.0401,0.0284,9.590000000000001e-05,0.302,0.7040000000000001,115.184,252427,1,0.24910714285714256,0.2053571428571427,3,4.207116666666667,396,94.12622263070116,7
170,68,5,2,0.679,0.5529999999999999,-14.687000000000001,0.0316,0.0611,7.16e-06,0.139,0.946,109.071,198760,1,0.6273076923076926,0.3624358974358975,2,3.312666666666667,327,98.712014489837,0
174,56,2,3,0.638,0.818,-4.5169999999999995,0.05,0.131,1.7800000000000002e-05,0.107,0.489,126.015,167990,1,0.6905753968253968,0.16071428571428575,3,2.7998333333333334,544,194.29727959997612,2
175,51,0,1,0.614,0.972,-3.927,0.08800000000000001,0.00125,0.0186,0.32799999999999996,0.41100000000000003,127.96600000000001,170625,1,0.6202898550724636,0.0804347826086957,0,2.84375,137,48.17582417582418,23
176,67,2,17,0.645,0.877,-3.208,0.113,0.294,0.0,0.0759,0.861,82.324,227027,1,0.5351673101673107,0.3421492921492921,3,3.7837833333333335,698,184.4714505323156,0
178,56,2,10,0.722,0.5589999999999999,-5.249,0.0342,0.187,8.96e-06,0.125,0.255,110.065,234293,1,0.4931277056277057,0.16661255411255407,1,3.9048833333333333,207,53.01054662324525,0
