,track_popularity,playlist_genre,playlist_subgenre,danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,lyrical_subjectivity,lyrical_polarity,repeated_phrases,minutes,word_count,WPM_approx,artist_past_performance,correct
1864,14,2,10,0.657,0.885,-4.695,0.0344,0.0168,0.0,0.147,0.8690000000000001,105.011,237987,0.3486819727891157,-0.011883503401360546,0,3.96645,314,79.16398794892157,0,False
95,38,2,3,0.645,0.578,-6.818,0.039,0.0171,0.0,0.0815,0.536,97.95,181905,0.4295138888888889,0.03055555555555556,0,3.03175,236,77.84283004865176,0,False
468,23,2,10,0.281,0.654,-7.765,0.0359,0.268,0.000478,0.0631,0.5489999999999999,172.009,206613,0.7484126984126984,-0.2365079365079365,0,3.44355,129,37.46134076752189,0,False
4022,77,5,2,0.7509999999999999,0.501,-12.151,0.0552,0.234,0.112,0.0467,0.902,167.058,190627,0.5247863247863249,0.15694444444444444,10,3.1771166666666666,638,200.81100788450743,2,False
2698,4,0,16,0.5720000000000001,0.8190000000000001,-2.7110000000000003,0.0333,0.00146,0.0108,0.141,0.339,91.945,271653,0.7611111111111111,-0.21666666666666665,0,4.52755,136,30.038320946207108,0,False
2903,45,0,16,0.52,0.789,-7.717,0.0432,0.00491,1.34e-05,0.0816,0.415,174.02599999999995,216347,0.037037037037037035,0.0,0,3.605783333333333,172,47.7011467688482,0,False
2272,2,3,9,0.675,0.303,-12.501,0.0922,0.755,2.65e-05,0.201,0.541,138.19299999999998,96960,0.4805194805194805,-0.06948051948051949,0,1.6159999999999999,158,97.77227722772275,0,False
6095,52,1,22,0.16,1.0,-16.449,0.0458,0.8540000000000001,0.974,0.963,1e-05,130.674,240000,0.0,0.0,0,4.0,6,1.5,0,False
61,51,1,22,0.736,0.6890000000000001,-4.8039999999999985,0.0456,0.388,0.0,0.211,0.465,101.046,151470,0.4936741363211952,0.14021942110177402,0,2.5245,287,113.68587839176071,5,False
2627,0,0,16,0.71,0.764,-3.341,0.0436,0.117,0.0,0.0806,0.341,126.056,179048,0.7666666666666666,-0.5333333333333333,6,2.9841333333333333,350,117.28698449577769,0,False
5493,65,2,3,0.464,0.815,-6.371,0.0368,0.008709999999999999,0.201,0.162,0.467,161.845,298920,0.4477072310405644,0.2149911816578484,0,4.982,502,100.76274588518669,0,False
6098,0,2,10,0.26,0.4320000000000001,-10.198,0.0353,0.171,0.00765,0.239,0.267,164.15400000000002,256080,0.6909090909090911,-0.6267676767676763,10,4.268,377,88.33177132146204,0,False
4727,81,2,3,0.588,0.67,-6.439,0.0473,0.0104,3.33e-06,0.338,0.505,118.159,238173,0.5934523809523808,0.1961309523809524,115,3.96955,3717,936.3781788867757,0,False
5495,8,0,1,0.6779999999999999,0.99,-5.439,0.0425,0.00042800000000000016,0.88,0.0747,0.235,128.001,168250,0.4221428571428572,0.20857142857142846,4,2.8041666666666667,396,141.2184249628529,3,False
2034,48,2,10,0.722,0.718,-4.081,0.0426,0.0588,5.22e-06,0.0931,0.6559999999999999,102.979,213920,0.5049272486772487,0.29150132275132273,0,3.565333333333333,326,91.43605086013464,0,False
2110,44,5,2,0.5579999999999999,0.36,-11.771,0.0232,0.23,0.00248,0.18,0.509,87.838,233677,0.6247474747474747,0.18333333333333326,0,3.894616666666667,148,38.00117255870283,0,False
3904,73,3,23,0.485,0.461,-5.646,0.0444,0.44,0.0,0.232,0.324,87.009,200756,0.5358974358974358,-0.11089743589743596,6,3.345933333333333,714,213.39337304987149,0,False
2877,61,0,16,0.438,0.856,-4.158,0.0584,0.0268,6.27e-06,0.375,0.49,127.991,224520,0.3916666666666666,-0.11510416666666667,0,3.742,282,75.36076964190272,0,False
4284,38,5,0,0.568,0.721,-4.725,0.0339,0.00299,0.000337,0.127,0.344,120.095,250040,0.7708333333333334,0.6030303030303029,2,4.167333333333334,213,51.11182210846264,9,False
1315,30,2,10,0.732,0.52,-6.684,0.0376,0.127,0.0347,0.139,0.339,119.979,161464,0.6982608695652175,0.4799999999999999,0,2.6910666666666665,97,36.04518654313036,2,False
